1   1    2
2   2    1    3
3   2    2    4
4   2    3    5
5   2    4    6
6   2    5    7
7   2    6    8
8   2    7    9
9   2    8    10
10   2    9    11
11   2    10    12
12   2    11    13
13   2    12    14
14   2    13    15
15   2    14    16
16   2    15    17
17   2    16    18
18   2    17    19
19   2    18    20
20   2    19    21
21   2    20    22
22   2    21    23
23   2    22    24
24   2    23    25
25   2    24    26
26   2    25    27
27   2    26    28
28   2    27    29
29   2    28    30
30   2    29    31
31   1    30
