reach,THALWEG,THALWEG_Smoothed
1,38.45,38.45
2,38.35,38.35
3,38.26,38.26
4,38.21,38.21
5,38.11,38.11
6,38.11,38.11
7,37.97,37.97
8,37.88,37.88
9,37.88,37.88
10,37.79,37.79
11,37.69,37.69
12,37.6,37.6
13,37.55,37.55
14,37.5,37.5
15,37.4,37.4
16,37.35,37.35
17,37.26,37.26
18,37.21,37.21
19,37.21,37.21
20,37.21,37.21
21,37.2,37.2
22,37.2,37.2
23,37.2,37.2
24,37.19,37.19
25,37.19,37.19
26,37.19,37.19
27,37.05,37.05
28,37.05,37.05
29,36.9,36.9
30,36.81,36.81
31,36.81,36.81
32,36.72,36.72
33,36.62,36.62
34,36.09,36.09
35,35.56,35.56
36,35.3,35.3
37,34.77,34.77
38,34.24,34.34
39,33.98,34.34
40,33.45,34.34
41,33.19,34.34
42,32.92,34.34
43,32.83,34.34
44,33.0,34.34
45,33.34,34.34
46,33.68,34.34
47,33.85,34.34
48,34.19,34.34
49,34.21,34.34
50,34.23,34.34
51,34.24,34.34
52,34.26,34.34
53,34.27,34.34
54,34.28,34.34
55,34.3,34.34
56,34.3,34.34
57,34.32,34.34
58,34.34,34.34
59,34.3,34.3
60,34.3,34.3
61,34.15,34.15
62,34.06,34.06
63,34.06,34.06
64,33.96,33.96
65,33.91,33.91
66,33.81,33.81
67,33.72,33.72
68,33.72,33.72
69,33.57,33.57
70,33.47,33.47
71,33.47,33.47
72,33.38,33.38
73,33.24,33.24
74,33.24,33.24
75,33.15,33.15
76,33.05,33.05
77,32.96,32.96
78,32.87,32.87
79,32.77,32.77
80,32.72,32.72
81,32.72,32.72
82,32.67,32.67
83,32.57,32.57
84,32.53,32.53
85,32.43,32.43
86,32.23,32.23
87,32.14,32.14
88,32.09,32.09
89,32.0,32.0
90,31.91,31.91
91,31.71,31.71
92,31.24,31.56
93,31.56,31.56
94,30.93,31.04
95,30.61,31.04
96,30.3,31.04
97,29.99,31.04
98,29.96,31.04
99,30.23,31.04
100,30.5,31.04
101,30.77,31.04
102,31.04,31.04
103,30.95,30.95
104,30.84,30.84
105,30.78,30.78
106,30.67,30.67
107,30.56,30.56
108,30.45,30.45
109,30.34,30.34
110,30.23,30.23
111,30.12,30.12
112,30.02,30.02
113,29.91,29.91
114,29.75,29.75
115,29.65,29.65
116,29.54,29.54
